"name"	"references_link"	"references_type"	"references_resource"	"references_id"	"references_annotatorClassName"	"description"	"bloodBrainBarrier"	"brandNames"	"synonyms"	"id"	"targets_name"	"targets_targetParticipants_link"	"targets_targetParticipants_type"	"targets_targetParticipants_resource"	"targets_targetParticipants_id"	"targets_targetParticipants_annotatorClassName"
"BRONTICTUZUMAB"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545261"	0	""	NA	"N/A"	""	"BRONTICTUZUMAB|BRONTICTUZUMAB|BRONTICTUZUMAB|OMP-52M51"	"BRONTICTUZUMAB"	"Neurogenic locus notch homolog protein 1"	NA	"HGNC_SYMBOL"	"NOTCH1"	0	""
"XL784"	NA	"DRUGBANK"	"DB04991"	0	""	"XL784 is a potent inhibitor of the ADAM-10 metalloprotease enzyme, a target of significant interest because of its important role in blood vessel formation and cell proliferation. XL784 was specifically optimized to be MMP-1 sparing, thus potentially enhancing its safety profile and enabling higher dosing compared with other previously studied metalloprotease inhibitors. Results of single dose Phase I clinical trials of XL784 administered orally to 96 healthy volunteers have demonstrated that XL784 has attractive safety and pharmacokinetic profiles. It is being developed by Exelixis, Inc."	"N/A"	""	""	"XL784"	"Disintegrin and metalloproteinase domain-containing protein 10"	NA	"HGNC_SYMBOL"	"ADAM10"	0	""
"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid"	NA	"DRUGBANK"	"DB07189"	0	""	NA	"N/A"	""	""	"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE"	NA	"DRUGBANK"	"DB07145"	0	""	NA	"N/A"	""	""	"(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol"	NA	"DRUGBANK"	"DB06943"	0	""	"(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol is a solid. This compound belongs to the benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring. This substance is known to target disintegrin and metalloproteinase domain-containing protein 17."	"N/A"	""	""	"(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE"	NA	"DRUGBANK"	"DB07964"	0	""	NA	"N/A"	""	""	"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol"	NA	"DRUGBANK"	"DB07079"	0	""	NA	"N/A"	""	""	"3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE"	NA	"DRUGBANK"	"DB07121"	0	""	NA	"N/A"	""	""	"4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"APRATASTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL206815"	0	""	NA	"N/A"	""	"APRATASTAT|APRATASTAT|APRATASTAT|TMI-005|TMI-05"	"APRATASTAT"	"Matrix metalloproteinase 13"	NA	"HGNC_SYMBOL"	"MMP13"	0	""
"APRATASTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL206815"	0	""	NA	"N/A"	""	"APRATASTAT|APRATASTAT|APRATASTAT|TMI-005|TMI-05"	"APRATASTAT"	"ADAM17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
