Symbol,D10_LEC_118_3d,D10_LEC_4G4_3d,D10_LEC_AD2_3d,D10_LEC_IgG1_3d,D10_LEC_IgG2b_3d,D10_LEC_siCD73_3d,D10_LEC_siCtrl_3d,D10_LEC_Untouched_3d,D11_LEC_118_3d,D11_LEC_4G4_3d,D11_LEC_AD2_3d,D11_LEC_IgG1_3d,D11_LEC_IgG2b_3d,D11_LEC_siCD73_3d,D11_LEC_siCtrl_3d,D11_LEC_Untouched_3d,D12_LEC_118_3d,D12_LEC_4G4_3d,D12_LEC_AD2_3d,D12_LEC_IgG1_3d,D12_LEC_IgG2b_3d,D12_LEC_siCD73_3d,D12_LEC_siCtrl_3d,D12_LEC_Untouched_3d,D17_LEC_118_3d,D17_LEC_4G4_3d,D17_LEC_AD2_3d,D17_LEC_IgG1_3d,D17_LEC_IgG2b_3d,D17_LEC_siCD73_3d,D17_LEC_siCtrl_3d,D17_LEC_Untouched_3d
ADAM10,3882.4469177733035,4065.8466453913397,4075.8530883849417,3995.3466194195125,4069.91113914412,4293.818791936962,4925.041530724926,4007.2930245042276,4420.670651191995,4107.248037495876,4446.127263357106,3750.21083480611,3840.1222306767995,4500.56989918981,5262.753426706827,3963.8683075482527,4510.589798431179,4650.448887193192,4765.993027234652,3920.4837808830243,4520.878911225948,4426.764910307166,5759.104449045553,4831.557601498287,4826.049163045419,4693.725516056457,4777.60637834235,4655.208760778016,4459.225359430258,4995.945985248556,5508.1511760693065,4973.930235237533
ADAM17,1209.4921169478582,1304.5436962611702,1159.139500065247,1256.55727388883,1175.435874452113,1169.9997295349983,1438.7900779284323,1301.8542092116384,1367.063054241645,1343.9533573859155,1317.7954517682144,1151.5936354613218,1193.6316397581315,1254.7969904456563,1438.838456693511,1242.2891323741478,1358.4240711345944,1449.799227182886,1375.795534312474,1262.8691350316,1381.7426152085086,1323.6711954026773,1637.223635780921,1551.717282428456,1658.4035196416262,1597.2964531794762,1671.7148148294787,1626.2493990232927,1537.9696831795477,1571.5607708698838,1931.2683379453824,1817.1219303195423
APH1A,2772.0374883720215,2592.1745528992487,2756.362463988788,2673.7950037778123,2624.0965526509644,2062.6831666630724,2452.005102712083,2816.7525104177066,3146.2748795167618,3302.1790249343685,3191.7975457208727,3338.1638293752235,3348.7763463193005,2194.424727433547,2812.7390075401195,3501.098757332928,2996.6951612153716,3060.027057373714,2899.028890627997,3294.2893342594716,2931.1671553516985,1991.110292990481,2433.7512756853107,2986.9196531236876,2717.449430385788,2804.0715290284993,2939.1268252938717,2918.307340790252,2916.329444081654,2243.9567382722666,2876.0550995034127,2866.8185793876273
APH1B,602.4682955418239,593.0769094497629,549.176399669249,564.1869943825566,577.7566162561234,438.8931404621982,706.4051027490411,636.183568827658,549.8258765607133,555.637226010659,576.4804183654932,500.48162216251535,517.607474728331,484.51392695746057,779.2548701628299,586.3245272145616,511.1094859919862,524.8590098407989,562.7064804258375,529.2522101169776,489.9796507831591,397.22588084050244,740.3814246855651,637.0207791022083,790.555398161135,683.9459094776515,745.9671460820593,730.9739566743872,690.65775010177,441.23238645228275,900.4305755693905,821.4537852476086
CCNC,1002.2156901262855,1017.0254226686047,950.5782337786428,919.8504756413203,986.6451246409988,1040.509064072261,1052.8034018203748,999.6117257593328,1002.5717428137564,832.0597655838009,1031.3181796446897,957.2318404467526,866.6324822374511,1130.1404946750476,1181.8698864136254,964.8520476576789,1004.728533299836,1033.873219384517,1086.1543691940583,901.3007934665362,1030.0461103130413,1229.0343084312724,1319.8103657438335,1094.3690307653321,1149.8987609616509,1111.8122272632027,1196.6386825373056,1110.9909983705518,1136.9743846183203,1183.0653230373957,1259.715682077374,1251.4765721557526
CDK8,353.0532544763051,341.63936038646034,344.80731963966207,335.80409905649765,340.58230744819093,387.32606129562134,405.78086462641943,363.42815693167483,312.4211240810473,317.3740269173111,312.0398594822394,323.6123886992575,272.7816806260599,351.62539844728326,474.0467126823882,302.14808011631624,349.8087736827282,337.69230633153285,350.710085474708,338.8611510319923,338.6303808745833,381.0379922796042,497.82977494024345,403.9909556357594,379.6835531477149,428.9333160842682,405.1162908929831,393.42940787367627,350.7477304368475,317.3005806957651,444.4489836061721,375.9942829119927
CREBBP,1339.3246040778542,1313.563877393486,1303.7699259323392,1305.3030302034829,1391.7388440849475,1520.6558678677206,1353.4276399429966,1311.437507467443,1339.704142245847,1561.7408128071788,1214.6636338037456,1251.6899598938248,1355.4369223655149,1414.7336265287015,1172.5930427212108,1470.3042262909216,1306.924446120193,1222.0302229123506,1099.2405664132639,1293.4365069030428,1271.7694046993997,1331.1425285846303,1068.2753215634998,1095.4579551740537,1198.7152177949285,1179.033120082379,1104.7147048848817,1132.2272448182787,1153.7235739931136,1355.3393225287252,1056.564350249403,1087.185815106231
CUL1,1342.741248476012,1462.3968660766966,1416.958954871803,1394.67025011368,1425.8919445532897,1344.181863608769,1472.1927710531681,1362.3027059020994,1445.6096080360326,1266.7039608048692,1382.1426544298063,1326.5192509744338,1391.0171415776097,1529.9820848826607,1516.763943709794,1378.1996070733085,1323.4431937663217,1401.2745262730762,1399.350689307044,1297.803274313249,1345.810774151077,1398.3845272222077,1640.9667167955092,1354.621964449824,1403.473133956732,1457.519676047538,1483.799426885143,1512.2442865144433,1408.9024003502584,1332.4866491268142,1583.5158397944454,1485.2325486288978
DAB1,23.91651078710454,15.785316981552622,27.249210670611593,19.85938220226599,18.973944704634594,26.356507129583704,13.608504606373822,19.90377330051769,15.003274320276283,17.683596807709414,18.51083912182776,20.407988476529752,23.720146141396512,25.87210289578673,19.48137175407075,22.464541272588566,24.29227595018946,19.8060003713509,22.682741846622907,11.353595266535825,13.066124020884242,37.35666590976512,15.720940261270846,28.31203462676481,20.340190347199012,12.80397958460502,10.575324862668234,13.412366177511691,18.71968224241602,11.42633670095553,10.645484637273583,13.231470366404434
DAB2,6577.040466453748,7479.985203972864,6621.558192958617,6636.644452320889,6542.216134158008,8839.743304243855,5750.211764584139,6490.84162633549,9034.618777451078,8704.052491878865,8427.720611609297,7880.398978865703,8501.130947461214,11427.237447198166,6965.981928634154,8772.403366945835,9429.28983282554,10103.040789426093,9955.106431223614,8647.072825690093,9471.851071472669,10854.601891180751,7887.420313940459,10446.051852867493,9196.478062313581,9568.840742894818,9381.126639714621,8947.165937581758,8433.709473425322,10750.42493764516,8314.123501710668,9920.294907211724
