Symbol,ECFC-L1-rep1,ECFC-L1-rep2,ECFC-L1-rep3,ECFC-B1-rep1,ECFC-B1-rep2,ECFC-B1-rep3,ECFC-B2-rep1,ECFC-B2-rep2,ECFC-B2-rep3,ECFC-L2-rep1,ECFC-L2-rep2,ECFC-L2-rep3
ADAM10,5211.717062525997,5198.830928079675,3601.6051427809457,4228.243874697802,3925.4076238117814,3849.2336670265863,4235.716814994682,4052.4426596223047,5138.122849922472,6253.711362143821,5778.618701186427,5782.122055551378
ADAM17,1315.0619251570254,1245.0355138469968,1023.9674901018847,1412.7757090603945,1355.7420237538129,1385.5157718931962,1068.5819212994716,1357.072818576221,1693.556847229119,1372.184580187274,1548.486110148609,1785.7388410516287
APH1B,730.3269197316694,651.0964164229803,669.5889416148935,606.1155103899075,782.1181542186321,807.3494159528022,611.5127010561429,636.2908680488047,599.3904993484325,614.0213878257363,713.8411146075148,667.1679294866975
CCNC,912.6127311395738,868.9569221726543,1210.4825156213535,1096.8337979144537,1099.6221410462229,1239.6720064307544,1186.5016059741201,1224.5991460480273,1119.8912620158123,823.991733015683,930.4893969429423,1014.4737878152337
CDK8,334.9797703145258,325.54820821149013,427.11940843958394,342.83058443495696,349.2543855103499,334.2252958514289,331.8447763410468,392.2055186661484,396.16367768093824,435.83033812399765,478.2236278279714,460.8663569645698
CREBBP,1715.1437709743743,1579.6957584206405,1259.908997384013,1778.0135212361984,1252.0240547234666,1479.2724782619086,1467.2130677217353,1146.366662271535,1758.7266297047713,1527.676133111721,1596.4083108495329,1675.0173548814957
CUL1,1453.5517948630309,1454.612350176531,1428.7050954791323,1334.3504119674305,1367.3838366041578,1379.4389483322611,1382.686568087695,1378.9779140336389,1489.4725284237873,1440.2830705191486,1556.473143598763,1404.3648331322825
DAB2,15419.72250136865,13971.236844007615,14273.99490300496,9586.932388921328,12905.478717918808,7787.883452164075,10811.043656896996,11469.925221417468,11605.366263493113,17134.715142338522,16323.499613752261,17803.44717366417
DLL1,21.306133800923902,24.851008260419096,21.449227934738932,11.20361387042343,6.350079736551817,28.64788250155105,7.304759227633106,28.163694159537254,26.582411272963387,15.889647744104082,20.96596280665428,14.195062329504202
DLL3,14.204089200615936,12.425504130209548,17.718927424349552,12.323975257465772,9.525119604827726,10.417411818745835,16.696592520304243,23.991295024790993,14.577451343237987,30.644320649343587,24.959479531731287,22.712099727206724
DLL4,184.65315960800717,168.98685617084985,330.13159516946007,240.87769821410373,149.2268738089677,255.22658955927298,40.69794426824159,126.21507382607436,138.91453632967963,167.97627615195745,235.61748677954333,194.94552265852437
EP300,1777.8784982770946,1568.9269881744588,1318.6612304226455,1894.531105488602,1364.208796735882,1599.940831829048,1568.4361598760797,1177.659655782132,1795.599006631785,1806.879943472407,1877.9512399674618,1886.0506148467916
FBXW7,717.3065046311048,771.209623015006,575.3988537275618,391.0061240777777,425.4553423489717,459.23423767637894,403.84883158485883,453.74840590365574,439.0385345728147,409.7259168301124,377.38733051977704,444.77861965779834
FLT4,4112.083823578313,2416.34636985475,3648.233899160813,922.0574215358482,539.7567776069044,1221.4415357479493,114.78907357709166,1036.8411849844456,1439.7376944292107,9146.762226409628,8961.4515310728,8763.085144747261
FYN,1665.4294587722186,1626.0843071734228,1638.534499188535,1890.0496599404325,2487.114563482795,1860.3761272976938,1278.3328648357935,1751.3645368097425,1793.0265152182724,2158.722143520426,2028.7064963391188,1981.6307011987865
HDAC3,731.5105938317207,837.4789783761235,753.5207030986546,666.6150252901941,723.9090899669071,804.7450629981158,783.6963114217804,920.0140092115503,767.4599383645882,758.1631923615377,871.5850252480565,836.5623399521143
HES1,1519.8375444659052,820.0832725938301,947.4963296389024,1679.4217191764722,773.651381236563,421.90517865920634,1248.0702908927422,590.3944775665958,547.9406710781808,620.8312368589237,521.1539326225492,502.50520646444875
HEY1,232.00012361006029,115.97137188195578,341.3224967006282,59.37915351324418,11.641812850344998,18.230470682805212,58.43807382106485,13.560297187925345,10.289965654050343,182.73094905719694,293.52347929315994,210.08692247666218
HEY2,41.42859350179648,82.00832725938301,44.76360612467255,6.722168322254058,12.700159473103634,2.6043529546864588,102.26662918686348,12.51719740423878,11.147462791887873,35.184220004801894,13.97730853776952,13.248724840870588
JAG1,5636.6560644444235,5819.277767648138,6262.241981816171,1752.2452093342245,2504.0481094469333,1296.0996537822944,3234.964800808947,1895.3123069584885,2545.9090022396226,15429.982934363929,11400.491870913582,14653.089674002871
JAG2,1799.1846320780185,1962.4012856310944,1597.5011935742518,1967.3545956463543,2470.1810175186565,1537.436360916573,1542.3477340631043,2582.7150644079347,3293.6465064339477,2902.130662976724,2190.4439237047377,2233.3564731753277
KAT2B,469.9186177203772,531.8115767729686,456.02923739510163,333.8676933386182,294.22036112690085,385.4442372935959,299.49512833295734,188.80106084726827,258.9641356269337,400.64611811919576,473.23173192162517,443.8322821691647
KPNA3,2230.042004496702,2430.4286078689875,2600.952030868995,2477.1190267506204,2944.3203045145256,2770.1634261348304,2832.159506256607,2709.9732380176956,2744.8483382179293,2342.5880674164873,2207.416369786315,2256.0685729025345
