Symbol,BLM1,BLM2,BLM3,LYM1,LYM2,LYM3
ADAM10,12417.16269747006,11987.981016437383,12553.528460378315,11623.45999044648,13202.832748841825,11886.442921045798
ADAM17,4518.908296069471,4872.479274685544,4990.410741336845,3049.9092414877646,4621.291936212729,3781.1004722483117
APH1B,1243.1587535327508,1432.8942765406907,1143.9064010595127,1270.0173203990691,1674.6424181507762,1453.5998592667313
CCNC,2781.37100869511,2562.389690663776,2997.017451981055,3188.117008707663,2265.574850392976,2509.418200159273
CDK8,1251.0268469095404,1092.2359047033794,1136.112943368721,941.30695511931,856.3512365543742,1034.9282830348166
CREBBP,4643.486441201973,4977.870458472712,5320.333783580352,5710.408760470814,4912.7518307593045,5312.167629404108
CUL1,3810.7798921584113,3727.015499382584,3792.8160761852123,4079.9306417820094,3689.8221701360403,3907.31123847207
DAB2,24852.684279485962,26228.56551664899,23502.470576196996,28483.87375500912,33605.02536710218,27415.589681032478
DLL1,55.07665363752693,78.77724848737824,76.20269742107276,115.79569685991513,179.28289045992162,173.21339640364044
DLL3,53.76530474139534,51.0987557755967,59.74984229606841,53.228667104960984,38.060054957972184,30.46466770918299
DLL4,2427.3068067395798,1053.9118378716819,1924.118109882087,1513.7485855638904,704.1110167224855,2424.9875496509662
EP300,5452.588710115167,6281.953288162419,6461.642365409602,6779.65128389503,5982.439691157049,6309.6678921105
FBXW7,1046.4564191130116,949.5852114965053,1025.272656210797,1397.9528887039753,972.5345622155525,1069.7450461310257
FLT4,4626.438905552262,4723.44123700672,3154.6184852837278,14457.653054719402,9477.955264928705,15131.36524161249
FYN,7587.464713017401,6214.886171206948,6061.5782039489695,4152.769870451956,6352.022856406832,5466.231806104834
HDAC3,2247.6520079695515,1996.045147484246,2161.3855995795184,2439.1803241782122,2068.263512847699,2246.5516387828943
HES1,1174.968610933908,666.4129399067402,1942.3028444939341,2268.2882876833373,816.2880208091403,1688.6130101661429
HEY1,91.79442272921156,87.29370778331102,123.82938330924323,1236.3992148590937,587.9276910613072,1091.5055230661562
HEY2,17.047535649710717,9.58101670792438,14.720975638161782,389.4097225047146,27.04267062803287,81.81939327609146
JAG1,13889.807507825839,10779.70835382692,11794.099305397851,18203.270313631656,18593.338427363044,18905.50236124156
JAG2,9368.276513964105,6932.397866889285,7080.789281955817,6530.3170011402135,7687.129521116751,8221.978605169787
KAT2B,734.3553818336925,831.4193387654379,850.3528280396982,860.0632000643695,1127.7795232283338,1178.5474308066791
KPNA3,5414.55959212735,5659.187202147335,5955.933555251573,5298.586967606116,5582.8091140983415,5436.637557473056
KPNA4,6488.554338059125,6959.011802189076,7573.508995962527,6139.0396061055,6422.133483960991,5404.432051609063
KPNA6,6126.622042726805,6467.186277848957,6615.779639738589,6208.1434897154495,5843.220016442362,5550.662456613141
LRP8,786.8093376789561,1067.7510842275726,1192.3990266911044,1318.5768061790334,800.2627345110468,951.3680516039145
LYVE1,1150.0529819074077,1414.7968005368336,645.1251088488546,1181.3028752241341,1331.1003431353956,2881.957565288711
MAML1,2648.924770185819,2744.4290081143395,2774.470937921785,2841.663754392917,2701.2623216223947,2902.8476231464365
MAML2,2096.8468849144183,2059.918592203742,2002.0526867900023,2434.5111428532155,2439.8498388847433,2277.016306492077
MAML3,1274.631127039909,1361.5689299372536,1382.039830500365,1411.0265964139658,1166.8411585799367,1226.4204800639668
MIB1,4109.767440476415,5024.710984600342,5532.489020718566,5686.129017580832,5084.022078070179,5117.193756065338
MIB2,2634.4999323283714,1931.1071453527586,1911.994953474189,1839.6574420486515,1745.7546260985664,2495.4914949207896
